Currency ISO Code,Default Search Category,Description,Expanded By Default,Guide Page,Hide All Search Filters,Is Hidden,Is Leaf,Is Picklist,Label,Large Image Size,Left,Level,Long Description,Max Options,Min Options,Modifiable,Name,Product Count,Right,Search Filter Fields,Apttus_Config2__HierarchyId__r.Category Name,Apttus_Config2__AncestorId__r.Name,Apttus_Config2__PrimordialId__r.Name,Apttus_Config2__ProductAttributeGroupId__r.Group Name
"CHF","false","","false","","false","false","Yes","false","Activities","","1.0","0.0","","1.0","1.0","true","LT Activities","24.0","2.0","","LT Activities","","",""
"CHF","false","","false","","false","false","Yes","false","Seattle Accommodation","","1.0","0.0","","1.0","1.0","true","Seattle Accommodation","17.0","2.0","","Seattle Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Bournemouth Insurance","","1.0","0.0","","1.0","1.0","true","Bournemouth Insurance","11.0","2.0","","Bournemouth Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Bournemouth Travel","","1.0","0.0","","1.0","1.0","true","Bournemouth Travel","30.0","2.0","","Bournemouth Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Bournemouth Other","","1.0","0.0","","1.0","1.0","true","Bournemouth Other","22.0","2.0","","Bournemouth Other","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Courses","","1.0","0.0","","1.0","1.0","true","Brisbane Courses","33.0","2.0","","Brisbane Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Accommodation","","1.0","0.0","","1.0","1.0","true","Brisbane Accommodation","17.0","2.0","","Brisbane Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Insurance","","1.0","0.0","","1.0","1.0","true","Brisbane Insurance","13.0","2.0","","Brisbane Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Travel","","1.0","0.0","","1.0","1.0","true","Brisbane Travel","13.0","2.0","","Brisbane Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Brisbane Other","","1.0","0.0","","1.0","1.0","true","Brisbane Other","20.0","2.0","","Brisbane Other","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Courses","","1.0","0.0","","1.0","1.0","true","Bristol Courses","54.0","2.0","","Bristol Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Accommodation","","1.0","0.0","","1.0","1.0","true","Bristol Accommodation","20.0","2.0","","Bristol Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Insurance","","1.0","0.0","","1.0","1.0","true","Bristol Insurance","10.0","2.0","","Bristol Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Travel","","1.0","0.0","","1.0","1.0","true","Bristol Travel","27.0","2.0","","Bristol Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Bristol Other","","1.0","0.0","","1.0","1.0","true","Bristol Other","20.0","2.0","","Bristol Other","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Courses","","1.0","0.0","","1.0","1.0","true","Chicago Courses","51.0","2.0","","Chicago Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Accommodation","","1.0","0.0","","1.0","1.0","true","Chicago Accommodation","19.0","2.0","","Chicago Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Insurance","","1.0","0.0","","1.0","1.0","true","Chicago Insurance","11.0","2.0","","Chicago Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Travel","","1.0","0.0","","1.0","1.0","true","Chicago Travel","10.0","2.0","","Chicago Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Chicago Other","","1.0","0.0","","1.0","1.0","true","Chicago Other","12.0","2.0","","Chicago Other","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Courses","","1.0","0.0","","1.0","1.0","true","Costa Rica Courses","41.0","2.0","","Costa Rica Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Accommodation","","1.0","0.0","","1.0","1.0","true","Costa Rica Accommodation","25.0","2.0","","Costa Rica Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Insurance","","1.0","0.0","","1.0","1.0","true","Costa Rica Insurance","10.0","2.0","","Costa Rica Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Travel","","1.0","0.0","","1.0","1.0","true","Costa Rica Travel","13.0","2.0","","Costa Rica Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Costa Rica Other","","1.0","0.0","","1.0","1.0","true","Costa Rica Other","15.0","2.0","","Costa Rica Other","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Courses","","1.0","0.0","","1.0","1.0","true","Dublin Courses","35.0","2.0","","Dublin Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Accommodation","","1.0","0.0","","1.0","1.0","true","Dublin Accommodation","26.0","2.0","","Dublin Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Insurance","","1.0","0.0","","1.0","1.0","true","Dublin Insurance","10.0","2.0","","Dublin Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Travel","","1.0","0.0","","1.0","1.0","true","Dublin Travel","10.0","2.0","","Dublin Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Dublin Other","","1.0","0.0","","1.0","1.0","true","Dublin Other","15.0","2.0","","Dublin Other","","",""
"CHF","false","","false","","false","false","Yes","false","Boston Accommodation","","1.0","0.0","","1.0","1.0","true","Boston Accommodation","20.0","2.0","","Boston Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Boston Insurance","","1.0","0.0","","1.0","1.0","true","Boston Insurance","11.0","2.0","","Boston Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Boston Travel","","1.0","0.0","","1.0","1.0","true","Boston Travel","10.0","2.0","","Boston Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Boston Other","","1.0","0.0","","1.0","1.0","true","Boston Other","19.0","2.0","","Boston Other","","",""
"CHF","false","","false","","false","false","Yes","false","Bournemouth Courses","","1.0","0.0","","1.0","1.0","true","Bournemouth Courses","45.0","2.0","","Bournemouth Courses","","",""
