Active,Category Label,Category Name,Currency ISO Code,Guide Page,Type
"true","Activities","LT Activities","CHF","","Option Group"
"true","Bournemouth Courses","Bournemouth Courses","CHF","","Option Group"
"true","Bournemouth Accommodation","Bournemouth Accommodation","CHF","","Option Group"
"true","Bournemouth Insurance","Bournemouth Insurance","CHF","","Option Group"
"true","Bournemouth Travel","Bournemouth Travel","CHF","","Option Group"
"true","Bournemouth Other","Bournemouth Other","CHF","","Option Group"
"true","Brisbane Courses","Brisbane Courses","CHF","","Option Group"
"true","Brisbane Accommodation","Brisbane Accommodation","CHF","","Option Group"
"true","Brisbane Insurance","Brisbane Insurance","CHF","","Option Group"
"true","Brisbane Travel","Brisbane Travel","CHF","","Option Group"
"true","Brisbane Other","Brisbane Other","CHF","","Option Group"
"true","Bristol Courses","Bristol Courses","CHF","","Option Group"
"true","Bristol Accommodation","Bristol Accommodation","CHF","","Option Group"
"true","Bristol Insurance","Bristol Insurance","CHF","","Option Group"
"true","Bristol Travel","Bristol Travel","CHF","","Option Group"
"true","Bristol Other","Bristol Other","CHF","","Option Group"
"true","Chicago Courses","Chicago Courses","CHF","","Option Group"
"true","Chicago Accommodation","Chicago Accommodation","CHF","","Option Group"
"true","Chicago Insurance","Chicago Insurance","CHF","","Option Group"
"true","Chicago Travel","Chicago Travel","CHF","","Option Group"
"true","Chicago Other","Chicago Other","CHF","","Option Group"
"true","Costa Rica Courses","Costa Rica Courses","CHF","","Option Group"
"true","Costa Rica Accommodation","Costa Rica Accommodation","CHF","","Option Group"
"true","Costa Rica Insurance","Costa Rica Insurance","CHF","","Option Group"
"true","Costa Rica Travel","Costa Rica Travel","CHF","","Option Group"
"true","Costa Rica Other","Costa Rica Other","CHF","","Option Group"
"true","Dublin Courses","Dublin Courses","CHF","","Option Group"
"true","Dublin Accommodation","Dublin Accommodation","CHF","","Option Group"
"true","Dublin Insurance","Dublin Insurance","CHF","","Option Group"
"true","Dublin Travel","Dublin Travel","CHF","","Option Group"
"true","Dublin Other","Dublin Other","CHF","","Option Group"
"true","Boston Accommodation","Boston Accommodation","CHF","","Option Group"
