Condition Criteria,Constraint Rule Condition Name,Currency ISO Code,Edit Criteria,Field Value A,Field Value B,Field Value C,Field Value D,Match In Asset (Deprecated),Match In Cart Options,Match In Location,Match In Options,Match In Primary Lines,Match Max Products,Match Min Products,Match Rule,Operator A,Operator B,Operator C,Operator D,Product Category(Deprecated),Product Family,Product Field A,Product Field B,Product Field C,Product Field D,Product Scope,Sequence,Apttus_Config2__ConstraintRuleId__r.Constraint Rule Name,Apttus_Config2__ProductGroupId__r.Group Name,Apttus_Config2__ProductId__r.Product Name
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""GB-BOU"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : null
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""DestinationCode__c"" ],
  ""exprStr"" : ""(Destination Code = GB-BOU)""
}","If Residence was chosen for a Junior Course in GB-BOU","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYz5"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","true","","","","equal to","equal to","equal to","equal to","","Junior Course","","","","","Product Family","1.0","Junior Course: Add LU7 for GB-BOU if Residence has been chosen","",""
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""GB-BOU"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : null
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""DestinationCode__c"" ],
  ""exprStr"" : ""(Destination Code = GB-BOU)""
}","If Junior Course in GB-BOU has been chosen and HF","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYz6"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","true","","","","equal to","equal to","equal to","equal to","","Junior Course","","","","","Product Family","1.0","Junior Course: Add LU5 for GB-BOU if HF has been chosen","",""
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""NZ-AUC"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""DestinationCode__c"" ],
  ""exprStr"" : ""(Destination Code = NZ-AUC)""
}","If a junior course in Auckland has been chosen","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYz7"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","false","","","","equal to","equal to","equal to","equal to","","Junior Course","","","","","Product Family","1.0","Junior Course in Auckland - add Bus Pass","",""
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""0"",
      ""FieldType"" : ""DOUBLE"",
      ""FieldName"" : ""Apttus_Config2__ConfigurationId__r.APTS_Course_Literature_Business_English__c"",
      ""FieldLabel"" : ""Total Course Literature Business English"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    }, {
      ""RowNum"" : 2,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""0"",
      ""FieldType"" : ""BOOLEAN"",
      ""FieldName"" : ""Apttus_Config2__ConfigurationId__r.APTS_Comparative_Quote__c"",
      ""FieldLabel"" : ""Comparative Quote"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1 AND 2"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""Apttus_Config2__ConfigurationId__r.APTS_Course_Literature_Business_English__c"", ""Apttus_Config2__ConfigurationId__r.APTS_Comparative_Quote__c"" ],
  ""exprStr"" : ""(Total Course Literature Business English = 0) AND (Comparative Quote = 0)""
}","Check Product Business Language Course and Language and Product Count","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYz8"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","true","","","","equal to","equal to","equal to","equal to","","","","","","","Product","","Auto Include Course Literature (Business English)","","Business Language Course"
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""US-SDC"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""DestinationCode__c"" ],
  ""exprStr"" : ""(Destination Code = US-SDC)""
}","If a junior course in San Diego has  been selected","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYz9"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","false","","","","equal to","equal to","equal to","equal to","","Junior Course","","","","","Product Family","1.0","Junior Course in San Diego - include TSSR-SAN","",""
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""US-SDC"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""DestinationCode__c"" ],
  ""exprStr"" : ""(Destination Code = US-SDC)""
}","If  a non-junior course in San Diego Point Loma has been selected","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYzA"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","false","","","","equal to","equal to","equal to","equal to","","Course","","","","","Product Family","1.0","Non-Junior: Add TSS-SAN to San Diego as an optional product","",""
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""CR-COS"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""DestinationCode__c"" ],
  ""exprStr"" : ""(Destination Code = CR-COS)""
}","If a non-junior course in Costa Rica has been selected","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYzB"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","false","","","","equal to","equal to","equal to","equal to","","Course","","","","","Product Family","1.0","Non-Junior: Add TSS-SJO to Costa Rica as an optional product","",""
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""US-NYC"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    }, {
      ""RowNum"" : 2,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""DE-MUN"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    }, {
      ""RowNum"" : 3,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""NZ-AUC"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    }, {
      ""RowNum"" : 4,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""US-SEA"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    }, {
      ""RowNum"" : 5,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""FR-STR"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : null
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1 OR 2 OR 3 OR 4 OR 5"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""DestinationCode__c"" ],
  ""exprStr"" : ""(Destination Code = US-NYC) OR (Destination Code = DE-MUN) OR (Destination Code = NZ-AUC) OR (Destination Code = US-SEA) OR (Destination Code = FR-STR)""
}","If a junior course in certain destinations has been chosen","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYzC"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","false","","","","equal to","equal to","equal to","equal to","","Junior Course","","","","","Product Family","1.0","Junior Course outside the UK: include TSSR","",""
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""AU-BRS"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""DestinationCode__c"" ],
  ""exprStr"" : ""(Destination Code = AU-BRS)""
}","If a non-junior course in Brisbane has been selected","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYzD"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","false","","","","equal to","equal to","equal to","equal to","","Course","","","","","Product Family","1.0","Non-Junior: Add TSS-BNE to Brisbane as an optional product","",""
"{
  ""sObjectName"" : ""Apttus_Config2__LineItem__c"",
  ""sObjectLabel"" : ""Line Item"",
  ""searchText"" : null,
  ""filter"" : {
    ""predicates"" : [ {
      ""RowNum"" : 1,
      ""RHSSObjectName"" : null,
      ""RHSFieldType"" : null,
      ""RHSFieldName"" : null,
      ""RHSFieldLabel"" : null,
      ""RHSChildFilterName"" : null,
      ""RefFieldName"" : null,
      ""OffsetValue"" : null,
      ""LHSSObjectName"" : null,
      ""LHSChildFilterName"" : null,
      ""FieldValue"" : ""US-SBA"",
      ""FieldType"" : ""STRING"",
      ""FieldName"" : ""DestinationCode__c"",
      ""FieldLabel"" : ""Destination Code"",
      ""CompOper"" : ""equal to"",
      ""BoolOper"" : ""AND""
    } ],
    ""hasRHSFields"" : false,
    ""condExpr"" : ""1"",
    ""childFilter"" : null
  },
  ""fields"" : [ ""DestinationCode__c"" ],
  ""exprStr"" : ""(Destination Code = US-SBA)""
}","If  a non-junior course in SBA has been selected","CHF","<a href=""/apex/Apttus_Config2__ConstraintRuleConditionCriteriaEdit?id=a0x6E000000uYzE"" target=""_self""><img src=""/resource/Apttus_Config2__Button_EditCriteria"" alt=""Edit Criteria"" border=""0""/></a>","","","","","false","false","false","true","false","","","","equal to","equal to","equal to","equal to","","Course","","","","","Product Family","1.0","Non-Junior: Add TSS-SBA to Santa Barbara as an optional product","",""
