Active,Available Programs,Condition Association,Constraint Rule Name,Currency ISO Code,Description,Effective Date,Expiration Date,Is Bundle Context,Match In Asset (DEPRECATED),Match In Options (DEPRECATED),Match In Primary Lines (DEPRECATED,Match Max Products (DEPRECATED,Match Min Products (DEPRECATED,Match Rule (DEPRECATED,Sequence,Update View
"true","","","Comparative Quote: Include Consultation Fee","CHF","","","","false","false","false","false","","","","","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3I"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
"true","","","Auto include EF for LT","CHF","EF shall be added to every LT quote as long as it's offered in the market","","","false","false","false","false","","","","1.0","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3J"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
"true","","","Auto Include Consultation Fee","CHF","","","","false","false","false","false","","","","","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3K"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
"true","","1 AND 2","Auto Include Registration Fee","CHF","","","","false","false","false","false","","","","","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3L"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
"true","","","Comparative Quote: Include Registration Fee","CHF","","","","false","false","false","false","","","","","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3M"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
"true","","1 OR 2","Transfer for Non-Junior Courses in the UK","CHF","Every Non-Junior Course in the UK will have the article TSS-LHR as an optional item (except Manchester)","","","false","false","false","false","","","","1.0","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3N"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
"true","","","Fixed Fare will be added if DDP has been chosen","CHF","If a DDP has been selected the Fixed Fare product will be added automatically.","","","false","false","false","false","","","","1.0","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3O"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
"true","","","Junior Course: Include LU for specific Destinations","CHF","Specific Destinations need the article LU auto-included","","","false","false","false","false","","","","1.0","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3P"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
"true","","","Comparative Quote: Fixed Fare will be added if DDP has been chosen","CHF","For Comparative quotes - If a DDP has been selected the Fixed Fare product will be added automatically to each Bundle","","","false","false","false","false","","","","1.0","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3Q"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
"true","","","TSS article for Non-Junior Courses in Barcelona","CHF","For any Barcelona non-junior course add the product TSS","","","false","false","false","false","","","","1.0","<a href=""/apex/Apttus_Config2__ProductConstraintView?ruleId=a0y6E000001ON3R"" target=""_self""><img src=""/resource/Apttus_Config2__Button_UpdateView"" alt=""Update View"" border=""0""/></a>"
