Active,Code,Default Unique Identifier,Market,Name,Product,Program
"true","ASU","Asuncion_WWA_ASU_APP","WWA","Asuncion","APP",""
"true","NYC","New York_USB_NYC_APP","USB","New York","APP",""
"true","BOS","Boston_USB_BOS_APP","USB","Boston","APP",""
"true","PHL","Philadelphia_USB_PHL_APP","USB","Philadelphia","APP",""
"true","ORD","Chicago_USB_ORD_APP","USB","Chicago","APP",""
"true","MCO","Orlando_USB_MCO_APP","USB","Orlando","APP",""
"true","MIA","Miami_USB_MIA_APP","USB","Miami","APP",""
"true","JAX","Jacksonville,_USB_JAX_APP","USB","Jacksonville,","APP",""
"true","LAX","Los Angeles_USB_LAX_APP","USB","Los Angeles","APP",""
"true","SBA","Santa Barbara_USB_SBA_APP","USB","Santa Barbara","APP",""
"true","SFO","San Francisco_USB_SFO_APP","USB","San Francisco","APP",""
"true","SEA","Seattle_USB_SEA_APP","USB","Seattle","APP",""
"true","PAR","Paris_FRP_PAR_ILS","FRP","Paris","ILS",""
"true","BRU","Brussels_FRP_BRU_ILS","FRP","Brussels","ILS",""
"true","FRA","Frankfurt_FRP_FRA_ILS","FRP","Frankfurt","ILS",""
"true","GVA","Geneva_FRP_GVA_ILS","FRP","Geneva","ILS",""
"true","LYS","Lyon_FRP_LYS_ILS","FRP","Lyon","ILS",""
"true","MRS","Marseille_FRP_MRS_ILS","FRP","Marseille","ILS",""
"true","NCE","Nice_FRP_NCE_ILS","FRP","Nice","ILS",""
"true","TLS","Toulouse_FRP_TLS_ILS","FRP","Toulouse","ILS",""
"true","BER","Berlin_DEB_BER_ILS","DEB","Berlin","ILS",""
"true","DUS","Dusseldorf_DEB_DUS_ILS","DEB","Dusseldorf","ILS",""
"true","FRA","Frankfurt_DEB_FRA_ILS","DEB","Frankfurt","ILS",""
"true","HAJ","Hanover_DEB_HAJ_ILS","DEB","Hanover","ILS",""
"true","HAM","Hamburg_DEB_HAM_ILS","DEB","Hamburg","ILS",""
"true","MUC","Munich_DEB_MUC_ILS","DEB","Munich","ILS",""
"true","STR","Stuttgart_DEB_STR_ILS","DEB","Stuttgart","ILS",""
"true","BOD","Bordeaux_FRP_BOD_ILS","FRP","Bordeaux","ILS",""
"true","SXB","Strasbourg_FRP_SXB_ILS","FRP","Strasbourg","ILS",""
"true","TLS","Toulouse_FRP_TLS_APP","FRP","Toulouse","APP",""
