Country,Destination Code,Destination Name,EndDate Off-Set,IsLT,Language,StartDate Off-Set
"US","US-SDC","San Diego Point Loma","1.0","false","English","-1.0"
"US","US-SFD","San Francisco Down Town","1.0","false","English","-1.0"
"US","US-SBA","Santa Barbara","1.0","false","English","-1.0"
"SG","SG-SIN","Singapore","1.0","false","English","-1.0"
"GB","GB-BST","Bristol","1.0","false","English","-1.0"
"GB","GB-CAM","Cambridge","1.0","false","English","-1.0"
"ZA","ZA-CAP","Cape Town","1.0","false","English","-1.0"
"GB","GB-CAC","Clare College","1.0","false","English","-1.0"
"IE","IE-DUB","Dublin","1.0","false","English","-1.0"
"GB","GB-EAS","Eastbourne","1.0","false","English","-1.0"
"US","US-HNL","Honolulu","1.0","false","English","-1.0"
"ES","ES-MAD","Madrid","1.0","false","Spanish","-1.0"
"ES","ES-MAA","Malaga","1.0","false","Spanish","-1.0"
"MT","MT-MSJ","Malta St. Julian's","1.0","false","English","-1.0"
"GB","GB-MAN","Manchester","1.0","false","English","-1.0"
"DE","DE-MUN","Munich","1.0","false","German","-1.0"
"US","US-NYC","New York","1.0","false","English","-1.0"
"FR","FR-NIC","Nice","1.0","false","French","-1.0"
"AU","AU-PER","Perth","1.0","false","English","-1.0"
"IT","IT-ROM","Rome","1.0","false","Italian","-1.0"
"US","US-SEA","Seattle - Evergreen State College","1.0","false","English","-1.0"
"KR","KR-SEL","Seoul","1.0","false","Korean","-1.0"
"CN","CN-SHA","Shanghai","1.0","false","Chinese","-1.0"
"AU","AU-SYD","Sydney","1.0","false","English","-1.0"
"BE","BE-BFL","Anvers","1.0","false","Dutch","-1.0"
"CA","CA-TOO","Toronto","1.0","false","English","-1.0"
"CA","CA-VAN","Vancouver","1.0","false","English","-1.0"
"CA","CA-VIC","Vancouver Island","1.0","false","English","-1.0"
"US","US-WAS","Washington D.C.","1.0","false","English","-1.0"
"NL","NL-VUG","Vught","1.0","false","Dutch","-1.0"
"DE","DE-BER","Berlin","1.0","false","German","-1.0"
"NZ","NZ-AUC","Auckland","1.0","false","English","-1.0"
"JP","JP-TYO","Tokyo","1.0","false","Japanese","-1.0"
"ES","ES-BAR","Barcelona","1.0","false","Spanish","-1.0"
"US","US-BOI","Boston","1.0","false","English","-1.0"
"GB","GB-BOU","Bournemouth","1.0","false","English","-1.0"
"AU","AU-BRS","Brisbane","1.0","false","English","-1.0"
"US","US-CHI","Chicago","1.0","false","English","-1.0"
"CR","CR-COS","Costa Rica","1.0","false","Spanish","-1.0"
"GB","GB-LON","London","1.0","false","English","-1.0"
"US","US-MIA","Miami","1.0","false","English","-1.0"
"GB","GB-OXF","Oxford","1.0","false","English","-1.0"
"FR","FR-PAR","Paris","1.0","false","French","-1.0"
"FR","FR-STR","Saint Rapha?l","1.0","false","French","-1.0"
"GB","GB-BRI","Brighton","1.0","false","English","-1.0"
