"ID","OWNERID","ISDELETED","NAME","CURRENCYISOCODE","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","APTSEXTID__C","COUNTRY__C","DESTINATIONCODE__C","ENDDATEOFFSET__C","LANGUAGE__C","STARTDATEOFFSET__C","ISLT__C","GROUPEDLTDESTINATIONNAME__C"
"a5m7E000000CfXzQAK","0057E000003Lh0tQAC","false","Berlin Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","DE","DE-BER-LT","1.0","German","-1.0","true","Berlin"
"a5m7E000000CfY0QAK","0057E000003Lh0tQAC","false","Bodensee Junior Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","DE","DE-BSJ-LT","1.0","German","-1.0","true","Berlin"
"a5m7E000000CfY1QAK","0057E000003Lh0tQAC","false","Munich Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","DE","DE-MUR-LT","1.0","German","-1.0","true","Bodensee"
"a5m7E000000CfY2QAK","0057E000003Lh0tQAC","false","Dauntsey Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-DAU-LT","1.0","English","-1.0","true","Dauntsey"
"a5m7E000000CfY3QAK","0057E000003Lh0tQAC","false","Hastings Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-HAR-LT","1.0","English","-1.0","true","Hastings"
"a5m7E000000CfY4QAK","0057E000003Lh0tQAC","false","Newland Park Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-NLP-LT","1.0","English","-1.0","true","Newland Park"
"a5m7E000000CfY5QAK","0057E000003Lh0tQAC","false","Oxford Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-OXF-LT","1.0","English","-1.0","true","Oxford"
"a5m7E000000CfY6QAK","0057E000003Lh0tQAC","false","Rookesbury Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-ROO-LT","1.0","English","-1.0","true","Rookesbury"
"a5m7E000000CfY7QAK","0057E000003Lh0tQAC","false","St. John’s College","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-STC-LT","1.0","English","-1.0","true","St. John’s College"
"a5m7E000000CfY8QAK","0057E000003Lh0tQAC","false","Torquay Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-TOR-LT","1.0","English","-1.0","true","Torquay"
"a5m7E000000CfY9QAK","0057E000003Lh0tQAC","false","Bournemouth Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-BOU-LT","1.0","English","-1.0","true","Bournemouth"
"a5m7E000000CfYAQA0","0057E000003Lh0tQAC","false","Brighton Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-BUI-LT","1.0","English","-1.0","true","Brighton"
"a5m7E000000CfYBQA0","0057E000003Lh0tQAC","false","Clare College Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-CAC-LT","1.0","English","-1.0","true","Clare College Junior"
"a5m7E000000CfYCQA0","0057E000003Lh0tQAC","false","Hastings Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-HAS-LT","1.0","English","-1.0","true","Hastings"
"a5m7E000000CfYDQA0","0057E000003Lh0tQAC","false","Isle of Wight Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-IOW-LT","1.0","English","-1.0","true","Isle of Wight"
"a5m7E000000CfYEQA0","0057E000003Lh0tQAC","false","Isle of Wight Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-IWR-LT","1.0","English","-1.0","true","Isle of Wight"
"a5m7E000000CfYFQA0","0057E000003Lh0tQAC","false","London Campus","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-LBU-LT","1.0","English","-1.0","true","London Brunel University"
"a5m7E000000CfYGQA0","0057E000003Lh0tQAC","false","Brighton Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-BRI-LT","1.0","English","-1.0","true","Brighton"
"a5m7E000000CfYHQA0","0057E000003Lh0tQAC","false","Clare College Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-CAH-LT","1.0","English","-1.0","true","Clare College Junior"
"a5m7E000000CfYIQA0","0057E000003Lh0tQAC","false","Canterbury Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-CAR-LT","1.0","English","-1.0","true","Canterbury"
"a5m7E000000CfYJQA0","0057E000003Lh0tQAC","false","Eastbourne Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-EAS-LT","1.0","English","-1.0","true","Eastbourne"
"a5m7E000000CfYKQA0","0057E000003Lh0tQAC","false","Hooke Court Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-HKC-LT","1.0","English","-1.0","true","Hook Court"
"a5m7E000000CfYLQA0","0057E000003Lh0tQAC","false","London Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-LON-LT","1.0","English","-1.0","true","London"
"a5m7E000000CfYMQA0","0057E000003Lh0tQAC","false","London Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-LOR-LT","1.0","English","-1.0","true","London"
"a5m7E000000CfYNQA0","0057E000003Lh0tQAC","false","London University","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-LOU-LT","1.0","English","-1.0","true","London University"
"a5m7E000000CfYOQA0","0057E000003Lh0tQAC","false","Berlin Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-BEC-LT","1.0","English","-1.0","true","Berlin"
"a5m7E000000CfYPQA0","0057E000003Lh0tQAC","false","Cambridge Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","GB","GB-CAM-LT","1.0","English","-1.0","true","Clare College"
