Departure Point,Destination,Fixed Fare,Flight Season,From Day,From Month,From To,Product,Program,To Day,To Month,Transformed To Month,Unique Value
"ADA","NZ-AUC","19131","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AYP","14.0","1.0","13.0","APPAYPNZ-AUCADA"
"LYS","US-SDC","19132","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYUS-SDCLYS"
"PAR","US-WAS","19133","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPUS-WASPAR"
"NCE","GB-LRS","19134","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYGB-LRSNCE"
"FRA","US-HNL","19135","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPUS-HNLFRA"
"LYS","GB-MAS","19137","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPGB-MASLYS"
"NTE","US-NYT","19138","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-NYTNTE"
"PAR","US-SEA","19139","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-SEAPAR"
"NCE","JP-TYO","19140","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILSH","31.0","8.0","8.0","ILSILSHJP-TYONCE"
"LYS","GB-BOU","19141","HighSeason1","1.0","6.0","Jun-1 To Aug-31","LSP","AYP","31.0","8.0","8.0","LSPAYPGB-BOULYS"
"NCE","US-SEA","19142","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYUS-SEANCE"
"NTE","US-SBA","19143","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPUS-SBANTE"
"TLS","NZ-AUC","19144","HighSeason1","1.0","1.0","Jan-1 To Feb-28","LSP","ILSP","28.0","2.0","2.0","LSPILSPNZ-AUCTLS"
"GVA","US-BOI","19145","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILS","31.0","5.0","5.0","ILSILSUS-BOIGVA"
"BOD","GB-BOU","19146","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYGB-BOUBOD"
"MRS","AU-BRS","19147","LowSeason1","1.0","3.0","Mar-1 To Dec-31","APP","AY","31.0","12.0","12.0","APPAYAU-BRSMRS"
"PAR","US-SFD","19148","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYUS-SFDPAR"
"NCE","US-WAS","19149","HighSeason1","1.0","6.0","Jun-1 To Aug-31","APP","AY","31.0","8.0","8.0","APPAYUS-WASNCE"
"BOD","GB-LRS","19150","LowSeason2","1.0","9.0","Sep-1 To Dec-11","APP","AY","11.0","12.0","12.0","APPAYGB-LRSBOD"
"LYS","US-CHS","19151","LowSeason2","1.0","9.0","Sep-1 To Dec-11","LSP","AYP","11.0","12.0","12.0","LSPAYPUS-CHSLYS"
"NCE","GB-EAS","19152","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILSH","11.0","12.0","12.0","ILSILSHGB-EASNCE"
"GVA","ZA-CAP","19153","LowSeason1","1.0","3.0","Mar-1 To Dec-31","LSP","AYP","31.0","12.0","12.0","LSPAYPZA-CAPGVA"
"NCE","GB-MAN","19154","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","AYP","31.0","5.0","5.0","LSPAYPGB-MANNCE"
"PAR","GB-EAS","19155","LowSeason1","15.0","1.0","Jan-15 To May-31","APP","AY","31.0","5.0","5.0","APPAYGB-EASPAR"
"TLS","US-SDO","19156","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSUS-SDOTLS"
"LYS","US-CHI","19157","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSUS-CHILYS"
"TLS","GB-LON","19158","LowSeason1","15.0","1.0","Jan-15 To May-31","ILS","ILSU","31.0","10.0","10.0","ILSILSUGB-LONTLS"
"GVA","US-SDO","19159","LowSeason2","1.0","9.0","Sep-1 To Dec-11","ILS","ILS","11.0","12.0","12.0","ILSILSUS-SDOGVA"
"MRS","IE-DUB","19160","HighSeason2","12.0","12.0","Dec-12 To Jan-14","APP","AY","14.0","1.0","13.0","APPAYIE-DUBMRS"
"GVA","US-SDC","19161","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILSH","31.0","8.0","8.0","ILSILSHUS-SDCGVA"
"BOD","IT-ROM","19162","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","AYP","14.0","1.0","13.0","LSPAYPIT-ROMBOD"
"FRA","ZA-CAP","19163","LowSeason1","1.0","3.0","Mar-1 To Dec-31","LSP","AYP","31.0","12.0","12.0","LSPAYPZA-CAPFRA"
"GVA","US-SDO","19164","HighSeason2","12.0","12.0","Dec-12 To Jan-14","LSP","ILSP","14.0","1.0","13.0","LSPILSPUS-SDOGVA"
"TLS","AU-BRS","19165","LowSeason1","1.0","3.0","Mar-1 To Dec-31","ILS","ILS","31.0","12.0","12.0","ILSILSAU-BRSTLS"
"BOD","GB-BRI","19166","HighSeason1","1.0","6.0","Jun-1 To Aug-31","ILS","ILS","31.0","8.0","8.0","ILSILSGB-BRIBOD"
"NCE","US-MIA","19167","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPUS-MIANCE"
"GVA","GB-BOU","19168","LowSeason1","15.0","1.0","Jan-15 To May-31","LSP","ILSP","31.0","5.0","5.0","LSPILSPGB-BOUGVA"
