APTS Ext ID,Business Object,Child Filter Name,Context Type,Currency ISO Code,Description,Dimension Name,Field,Relation Type,Type,Apttus_Config2__AttributeId__r.APTS Migration Ext ID,Apttus_Config2__CumulativeDimensionId__r.Dimension Name,Apttus_Config2__IncentiveId__r.Incentive Name
A1,Apttus_Config2__LineItem__c,,Line Item,CHF,,Destination Code,DestinationCode__c,,Standard,,,
A2,Apttus_Config2__LineItem__c,,Line Item,CHF,,FixedFareSeason,FixedFareSeason__c,,Standard,,,
A3,Apttus_Config2__LineItem__c,,Line Item,CHF,,Quantity,Apttus_Config2__Quantity__c,,Standard,,,
A4,Apttus_Config2__LineItem__c,,Custom,CHF,,Total Course Weeks,Apttus_Config2__ConfigurationId__r.APTS_Total_Course_Weeks__c,,Standard,,,
A5,Apttus_Config2__LineItem__c,,Custom,CHF,,Agent,Apttus_Config2__ConfigurationId__r.Apttus_QPConfig__Proposald__r.Agent__c,,Standard,,,
A6,Apttus_Config2__OrderLineItem__c,,Order Line Item,CHF,Auto Created for Loyalty point Accruals,Order Point Accrual,Apttus_Config2__Quantity__c,,Standard,,,
A7,Apttus_Config2__LineItem__c,,Custom,CHF,,Market,Apttus_Config2__ConfigurationId__r.Apttus_QPConfig__Proposald__r.Market__c,,Standard,,,
A8,Apttus_Config2__LineItem__c,,Line Item,CHF,,AY Course Type,APTS_AY_Course_Type__c,,Standard,,,
A9,Apttus_Config2__ProductAttributeValue__c,,Product Attribute,CHF,,Course Number of Weeks,APTS_Course_Number_of_Weeks__c,,Standard,1,,
A10,Apttus_Config2__OrderLineItem__c,,Order Line Item,CHF,Auto Created for Loyalty point Accruals,Order Point Accrual,Apttus_Config2__Quantity__c,,Standard,,,
A11,Apttus_Config2__LineItem__c,,Line Item,CHF,,Program,Program__c,,Standard,,,
A12,Apttus_Config2__LineItem__c,,Custom,CHF,,Product,Apttus_Config2__ConfigurationId__r.Apttus_QPConfig__Proposald__r.Product__c,,Standard,,,
A13,Apttus_Config2__LineItem__c,,Line Item,CHF,,Departure Point,Departure_Point__c,,Standard,,,
