Active,Allocate Group Adjustment,Allow Manual Adjustment,Allow Price Ramp Overlap,Allow Proration,APTS Migration Ext ID,APTS_Ext_ID,Auto Cascade Quantity,Auto Cascade Selling Term,Auto Renew,Auto Renewal Term,Auto Renewal Type,Auto Update Quantity,Billing Frequency,Billing Rule,Charge Type,Charge Type Criteria,Contract Price,Cost,Default Price Field,Default Price From,Default Quantity,Default Quantity Field,Default Quantity From,Default Selling Term,Description,Disable Asset Integration,Disable Sync With Opportunity,Effective Date,Enable Auto Ramp Creation,Enable Commitment,Enable Price Ramp,Expiration Date,Frequency,Has Charge Type Criteria,Is Quantity Read Only,Is Selling Term Read Only,Is Usage Tier Modifiable,List Price,Max Price,Max Usage Quantity,Min Price,Min Usage Quantity,Min/Max Price Applies To,Number Of Matrices,Percent,Percent Applies To,Price Included In Bundle,Price Method,Price Type,Price Uom,Product Active,Product Code,Product Description,Product Family,Product Name,Related Adjustment Amount,Related Adjustment Applies To,Related Adjustment Type,Sequence,Sub Type,Tax Inclusive ?,Taxable ?,Type,Apttus_Config2__PriceListId__r.APTS MigrationExt ID,Apttus_Config2__PriceListId__r.Year,Apttus_Config2__ARAccountRuleId__r.Rule Name,Apttus_Config2__DRAccountRuleId__r.Rule Name,Apttus_Config2__ProductId__r.Product Name,Apttus_Config2__RRAccountRuleId__r.Rule Name,Apttus_Config2__RelatedItemId__r.Item Id,Apttus_Config2__RevRecPolicyId__r.Name,Apttus_Config2__RevenueSplitPolicyId__r.Policy Name,Apttus_Config2__TaxCodeId__r.Name,Apttus_Config2__UBARAccountRuleId__r.Rule Name,Apttus_Config2__UBAccountRuleId__r.Rule Name
TRUE,TRUE,TRUE,FALSE,FALSE,1,A1,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,90,,,,,,0,,,FALSE,Flat Price,One Time,Each,TRUE,EF,,Enrollment Fee,Enrollment Fee,,,,,,FALSE,FALSE,,9,2017,,,Enrollment Fee,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,2,A2,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,185,,,,,,0,,,FALSE,Flat Price,One Time,Each,TRUE,EF,,Enrollment Fee,Enrollment Fee,,,,,,FALSE,FALSE,,2,2017,,,Enrollment Fee,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,3,A3,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,125,,,,,,0,,,FALSE,Flat Price,One Time,Each,TRUE,EF,,Enrollment Fee,Enrollment Fee,,,,,,FALSE,FALSE,,4,2017,,,Enrollment Fee,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,4,A4,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,0,,,,,,0,,,FALSE,Per Unit,One Time,Day,TRUE,HTX,,Accommodation,Hotel Twin Extra Night,,,,,,FALSE,FALSE,,9,2017,,,Hotel Twin Extra Night,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,5,A5,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,0,,,,,,0,,,FALSE,Per Unit,One Time,Day,TRUE,HTRX,,Accommodation,Hotel Triple Extra Night,,,,,,FALSE,FALSE,,9,2017,,,Hotel Triple Extra Night,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,6,A6,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,35,,,,,,0,,,FALSE,Per Unit,One Time,Day,TRUE,FSX,,Accommodation,Host Family Single Extra Night,,,,,,FALSE,FALSE,,9,2017,,,Host Family Single Extra Night,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,7,A7,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,0,,,,,,0,,,FALSE,Per Unit,One Time,Day,TRUE,FTX,,Accommodation,Host Family Twin Extra Night,,,,,,FALSE,FALSE,,9,2017,,,Host Family Twin Extra Night,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,8,A8,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,340,,,,,,0,,,FALSE,Per Unit,One Time,Each,TRUE,VISAF1,,,US F1 Student Visa,,,,,,FALSE,FALSE,,9,2017,,,US F1 Student Visa,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,9,A9,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,70,,,,,,0,,,FALSE,Per Unit,One Time,Each,TRUE,TSS-BNE,,,Oneway Single Transfer - BNE Airport to School,,,,,,FALSE,FALSE,,9,2017,,,Oneway Single Transfer - BNE Airport to School,,,,,,,
TRUE,TRUE,TRUE,FALSE,FALSE,10,A10,FALSE,FALSE,FALSE,,,TRUE,,,Standard Price,,,,,,,,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,125,,,,,,0,,,FALSE,Per Unit,One Time,Each,TRUE,TSSR-BNE,,,Single and Return Transfer - BNE Airport to School to BNE Airport,,,,,,FALSE,FALSE,,9,2017,,,Single and Return Transfer - BNE Airport to School to BNE Airport,,,,,,,
