Adjustment Amount,Adjustment Type,APTS Migration Ext ID,Band Size,Condition,Currency ISO Code,Dimension 1 Value,Dimension 2 Value,Dimension 3 Value,Dimension 4 Value,Dimension 5 Value,Dimension 6 Value,End Date,End Factor,Entry Key,Flat Price,From,Is Included,Price Override,Sequence,Start Date,Start Factor,To,Unit Price,Apttus_Config2__PriceMatrixId__r.APTS Migration Ext ID
"585.0","List Price Override","","","","CHF","8","AU-BRS","","","","","","","AU-BRS","","","false","585.0","1.0","","","","",""
"530.0","List Price Override","","","","CHF","99","AU-BRS","","","","","","","AU-BRS","","","false","530.0","2.0","","","","",""
"495.0","List Price Override","","","","CHF","8","CR-COS","","","","","","","CR-COS","","","false","495.0","1.0","","","","",""
"450.0","List Price Override","","","","CHF","99","CR-COS","","","","","","","CR-COS","","","false","450.0","2.0","","","","",""
"525.0","List Price Override","","","","CHF","8","ES-BAR","","","","","","","ES-BAR","","","false","525.0","1.0","","","","",""
"470.0","List Price Override","","","","CHF","99","ES-BAR","","","","","","","ES-BAR","","","false","470.0","2.0","","","","",""
"645.0","List Price Override","","","","CHF","8","FR-PAR","","","","","","","FR-PAR","","","false","645.0","1.0","","","","",""
"580.0","List Price Override","","","","CHF","99","FR-PAR","","","","","","","FR-PAR","","","false","580.0","2.0","","","","",""
"545.0","List Price Override","","","","CHF","8","GB-BOU","","","","","","","GB-BOU","","","false","545.0","1.0","","","","",""
"490.0","List Price Override","","","","CHF","99","GB-BOU","","","","","","","GB-BOU","","","false","490.0","2.0","","","","",""
"575.0","List Price Override","","","","CHF","8","GB-BST","","","","","","","GB-BST","","","false","575.0","1.0","","","","",""
"520.0","List Price Override","","","","CHF","99","GB-BST","","","","","","","GB-BST","","","false","520.0","2.0","","","","",""
"615.0","List Price Override","","","","CHF","8","GB-LON","","","","","","","GB-LON","","","false","615.0","1.0","","","","",""
"550.0","List Price Override","","","","CHF","99","GB-LON","","","","","","","GB-LON","","","false","550.0","2.0","","","","",""
"655.0","List Price Override","","","","CHF","8","GB-OXF","","","","","","","GB-OXF","","","false","655.0","1.0","","","","",""
"590.0","List Price Override","","","","CHF","99","GB-OXF","","","","","","","GB-OXF","","","false","590.0","2.0","","","","",""
"575.0","List Price Override","","","","CHF","8","IE-DUB","","","","","","","IE-DUB","","","false","575.0","1.0","","","","",""
"520.0","List Price Override","","","","CHF","99","IE-DUB","","","","","","","IE-DUB","","","false","520.0","2.0","","","","",""
"505.0","List Price Override","","","","CHF","8","MT-MSJ","","","","","","","MT-MSJ","","","false","505.0","1.0","","","","",""
"450.0","List Price Override","","","","CHF","99","MT-MSJ","","","","","","","MT-MSJ","","","false","450.0","2.0","","","","",""
"595.0","List Price Override","","","","CHF","8","NZ-AUC","","","","","","","NZ-AUC","","","false","595.0","1.0","","","","",""
"540.0","List Price Override","","","","CHF","99","NZ-AUC","","","","","","","NZ-AUC","","","false","540.0","2.0","","","","",""
"635.0","List Price Override","","","","CHF","8","SG-SIN","","","","","","","SG-SIN","","","false","635.0","1.0","","","","",""
"570.0","List Price Override","","","","CHF","99","SG-SIN","","","","","","","SG-SIN","","","false","570.0","2.0","","","","",""
"725.0","List Price Override","","","","CHF","8","US-BOI","","","","","","","US-BOI","","","false","725.0","1.0","","","","",""
"650.0","List Price Override","","","","CHF","99","US-BOI","","","","","","","US-BOI","","","false","650.0","2.0","","","","",""
"590.0","List Price Override","","","","CHF","99","US-CHI","","","","","","","US-CHI","","","false","590.0","2.0","","","","",""
"655.0","List Price Override","","","","CHF","8","US-CHI","","","","","","","US-CHI","","","false","655.0","1.0","","","","",""
"725.0","List Price Override","","","","CHF","8","US-HNL","","","","","","","US-HNL","","","false","725.0","1.0","","","","",""
"650.0","List Price Override","","","","CHF","99","US-HNL","","","","","","","US-HNL","","","false","650.0","2.0","","","","",""
"715.0","List Price Override","","","","CHF","8","US-MIA","","","","","","","US-MIA","","","false","715.0","1.0","","","","",""
"640.0","List Price Override","","","","CHF","99","US-MIA","","","","","","","US-MIA","","","false","640.0","2.0","","","","",""
"585.0","List Price Override","","","","CHF","8","US-SBA","","","","","","","US-SBA","","","false","585.0","1.0","","","","",""
"530.0","List Price Override","","","","CHF","99","US-SBA","","","","","","","US-SBA","","","false","530.0","2.0","","","","",""
"630.0","List Price Override","","","","CHF","99","US-SFD","","","","","","","US-SFD","","","false","630.0","2.0","","","","",""
"695.0","List Price Override","","","","CHF","8","US-SFD","","","","","","","US-SFD","","","false","695.0","1.0","","","","",""
"610.0","List Price Override","","","","CHF","99","US-SDC","","","","","","","US-SDC","","","false","610.0","2.0","","","","",""
"675.0","List Price Override","","","","CHF","8","US-SDC","","","","","","","US-SDC","","","false","675.0","1.0","","","","",""
"585.0","List Price Override","","","","CHF","99","AU-BRS","","","","","","","AU-BRS","","","false","585.0","2.0","","","","",""
"586.25","List Price Override","","","","CHF","8","AU-BRS","","","","","","","AU-BRS","","","false","586.25","1.0","","","","",""
"495.0","List Price Override","","","","CHF","99","CR-COS","","","","","","","CR-COS","","","false","495.0","2.0","","","","",""
"516.25","List Price Override","","","","CHF","8","CR-COS","","","","","","","CR-COS","","","false","516.25","1.0","","","","",""
"525.0","List Price Override","","","","CHF","99","ES-BAR","","","","","","","ES-BAR","","","false","525.0","2.0","","","","",""
"546.25","List Price Override","","","","CHF","8","ES-BAR","","","","","","","ES-BAR","","","false","546.25","1.0","","","","",""
"645.0","List Price Override","","","","CHF","99","FR-PAR","","","","","","","FR-PAR","","","false","645.0","2.0","","","","",""
"666.25","List Price Override","","","","CHF","8","FR-PAR","","","","","","","FR-PAR","","","false","666.25","1.0","","","","",""
"545.0","List Price Override","","","","CHF","99","GB-BOU","","","","","","","GB-BOU","","","false","545.0","2.0","","","","",""
"566.25","List Price Override","","","","CHF","8","GB-BOU","","","","","","","GB-BOU","","","false","566.25","1.0","","","","",""
"575.0","List Price Override","","","","CHF","99","GB-BST","","","","","","","GB-BST","","","false","575.0","2.0","","","","",""
"596.25","List Price Override","","","","CHF","8","GB-BST","","","","","","","GB-BST","","","false","596.25","1.0","","","","",""
"636.25","List Price Override","","","","CHF","8","GB-LON","","","","","","","GB-LON","","","false","636.25","1.0","","","","",""
"615.0","List Price Override","","","","CHF","99","GB-LON","","","","","","","GB-LON","","","false","615.0","2.0","","","","",""
"671.25","List Price Override","","","","CHF","8","GB-OXF","","","","","","","GB-OXF","","","false","671.25","1.0","","","","",""
"655.0","List Price Override","","","","CHF","99","GB-OXF","","","","","","","GB-OXF","","","false","655.0","2.0","","","","",""
"575.0","List Price Override","","","","CHF","99","IE-DUB","","","","","","","IE-DUB","","","false","575.0","2.0","","","","",""
"596.25","List Price Override","","","","CHF","8","IE-DUB","","","","","","","IE-DUB","","","false","596.25","1.0","","","","",""
"505.0","List Price Override","","","","CHF","99","MT-MSJ","","","","","","","MT-MSJ","","","false","505.0","2.0","","","","",""
