APTS Ext ID,Currency ISO Code,Description,Dimension 1 Value Type,Dimension 2 Value Type,Dimension 3 Value Type,Dimension 4 Value Type,Dimension 5 Value Type,Dimension 6 Value Type,Enable Date Range,Enable Usage Indexing,Export Price List Item Name,Export Price List Name,Initial Rows,Is Cumulative Range (Deprecated),Matrix Id,Matrix Type,Number Of Entries,Sequence,Stop Processing More Matrices,Apttus_Config2__PriceListItemId__r.APTS Migration Ext ID,Apttus_Config2__PriceListItemId__r.Item Id,Apttus_Config2__Dimension1Id__r.Dimension Name,Apttus_Config2__Dimension2Id__r.Dimension Name,Apttus_Config2__Dimension3Id__r.Dimension Name,Apttus_Config2__Dimension4Id__r.Dimension Name,Apttus_Config2__Dimension5Id__r.Dimension Name,Apttus_Config2__Dimension6Id__r.Dimension Name
1,USD,,Discrete,Discrete,Discrete,Discrete,,,FALSE,FALSE,Flight Booked by EF (Fixed Fare),AY NOO 2018 V1 NOK,5,FALSE,PM-0000000748,Dimension,132,1,FALSE,5242,PI-0000007895,Product,Departure Point,Destination Code,FixedFareSeason,,
2,CHF,,Discrete,,,,,,FALSE,FALSE,Bus Pass 2 Weeks,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000864,Dimension,3,1,FALSE,5280,PI-0000008904,Destination Code,,,,,
3,CHF,,Discrete,,,,,,FALSE,FALSE,Bus Pass 3 Weeks,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000865,Dimension,3,1,FALSE,5281,PI-0000008905,Destination Code,,,,,
4,CHF,,Discrete,,,,,,FALSE,FALSE,Bus Pass 4 Weeks,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000866,Dimension,3,1,FALSE,5282,PI-0000008906,Destination Code,,,,,
5,CHF,,Discrete,,,,,,FALSE,FALSE,Cancellation Protection,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000867,Dimension,38,1,FALSE,5283,PI-0000008907,Destination Code,,,,,
6,CHF,,Discrete,,,,,,FALSE,FALSE,Explore Pack,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000868,Dimension,5,1,FALSE,5285,PI-0000008909,Destination Code,,,,,
7,CHF,,Discrete,,,,,,FALSE,FALSE,Fun Package,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000869,Dimension,21,1,FALSE,5286,PI-0000008910,Destination Code,,,,,
8,CHF,,Discrete,,,,,,FALSE,FALSE,Fun Pack Tokyo 3 Weeks,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000870,Dimension,2,1,FALSE,5287,PI-0000008911,Destination Code,,,,,
9,CHF,,Discrete,,,,,,FALSE,FALSE,Fun Pack Tokyo 4 Weeks,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000871,Dimension,2,1,FALSE,5288,PI-0000008912,Destination Code,,,,,
10,CHF,,Discrete,,,,,,FALSE,FALSE,Fun Pack Malta,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000872,Dimension,3,1,FALSE,5289,PI-0000008913,Destination Code,,,,,
11,CHF,,Discrete,,,,,,FALSE,FALSE,Boston Weekend Excursion,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000873,Dimension,2,1,FALSE,5294,PI-0000008918,Destination Code,,,,,
12,CHF,,Discrete,,,,,,FALSE,FALSE,Brighton Full Day,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000874,Dimension,2,1,FALSE,5295,PI-0000008919,Destination Code,,,,,
13,CHF,,Discrete,,,,,,FALSE,FALSE,Cambridge Full Day,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000875,Dimension,2,1,FALSE,5296,PI-0000008920,Destination Code,,,,,
14,CHF,,Discrete,,,,,,FALSE,FALSE,Canterbury Full Day,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000876,Dimension,2,1,FALSE,5297,PI-0000008921,Destination Code,,,,,
15,CHF,,Discrete,,,,,,FALSE,FALSE,Cliffs of Moher Full Day,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000877,Dimension,2,1,FALSE,5298,PI-0000008922,Destination Code,,,,,
16,CHF,,Discrete,,,,,,FALSE,FALSE,Cote D'Azur Full Day,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000878,Dimension,2,1,FALSE,5299,PI-0000008923,Destination Code,,,,,
17,CHF,,Discrete,,,,,,FALSE,FALSE,Disneyland & California Adventure Park,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000879,Dimension,3,1,FALSE,5300,PI-0000008924,Destination Code,,,,,
18,CHF,,Discrete,,,,,,FALSE,FALSE,Swimming with dolphins,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000880,Dimension,3,1,FALSE,5302,PI-0000008926,Destination Code,,,,,
19,CHF,,Discrete,,,,,,FALSE,FALSE,Los Angeles Weekend Excursion,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000881,Dimension,5,1,FALSE,5308,PI-0000008932,Destination Code,,,,,
20,CHF,,Discrete,,,,,,FALSE,FALSE,London Eye,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000882,Dimension,2,1,FALSE,5309,PI-0000008933,Destination Code,,,,,
21,CHF,,Discrete,,,,,,FALSE,FALSE,Madame Tussauds,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000883,Dimension,2,1,FALSE,5311,PI-0000008935,Destination Code,,,,,
22,CHF,,Discrete,,,,,,FALSE,FALSE,Malta Boat Party,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000884,Dimension,2,1,FALSE,5312,PI-0000008936,Destination Code,,,,,
23,CHF,,Discrete,,,,,,FALSE,FALSE,Nerja Caves,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000885,Dimension,2,1,FALSE,5313,PI-0000008937,Destination Code,,,,,
24,CHF,,Discrete,,,,,,FALSE,FALSE,New York Excursion,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000886,Dimension,2,1,FALSE,5315,PI-0000008939,Destination Code,,,,,
25,CHF,,Discrete,,,,,,FALSE,FALSE,NYC Weekend Excursion,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000887,Dimension,2,1,FALSE,5316,PI-0000008940,Destination Code,,,,,
26,CHF,,Discrete,,,,,,FALSE,FALSE,Orlando Weekend Excursion,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000888,Dimension,2,1,FALSE,5317,PI-0000008941,Destination Code,,,,,
27,CHF,,Discrete,,,,,,FALSE,FALSE,Oxford Full Day,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000889,Dimension,4,1,FALSE,5319,PI-0000008943,Destination Code,,,,,
28,CHF,,Discrete,,,,,,FALSE,FALSE,Plymouth Full Day,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000890,Dimension,2,1,FALSE,5320,PI-0000008944,Destination Code,,,,,
29,CHF,,Discrete,,,,,,FALSE,FALSE,San Diego Zoo Excursion,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000891,Dimension,2,1,FALSE,5322,PI-0000008946,Destination Code,,,,,
30,CHF,,Discrete,,,,,,FALSE,FALSE,Sevilla Full Day,LT NOO 2018 V1 NOK,5,FALSE,PM-0000000892,Dimension,2,1,FALSE,5324,PI-0000008948,Destination Code,,,,,
