APTS Migration Ext ID,Currency ISO Code,Display Type,Field,Field Update (Deprecated),Is Hidden,Is Primary,Is Read Only,Product Attribute Value Field,Sequence,Apttus_Config2__AttributeGroupId__r.Group Name,Apttus_Config2__FieldUpdateId__r.Field Expression Name
1,CHF,,APTS_Course_Number_of_Weeks__c,,TRUE,FALSE,TRUE,,1,AY Course Attributes,
2,CHF,,APTS_LTCourseNumber__c,,FALSE,FALSE,FALSE,,1,LT Course Attributes,
3,CHF,,APTS_ProductionRegion__c,,FALSE,FALSE,FALSE,,2,LT Course Attributes,
4,CHF,,Country__c,,FALSE,FALSE,FALSE,,3,LT Course Attributes,
5,CHF,,APTS_DestinationCode__c,,FALSE,FALSE,FALSE,,4,LT Course Attributes,
6,CHF,,APTS_Destination_Name__c,,FALSE,FALSE,FALSE,,5,LT Course Attributes,
7,CHF,,APTS_Start_Date__c,,FALSE,FALSE,FALSE,,6,LT Course Attributes,
8,CHF,,APTS_End_Date__c,,FALSE,FALSE,FALSE,,7,LT Course Attributes,
9,CHF,,APTS_LTAgeGroup__c,,FALSE,FALSE,FALSE,,8,LT Course Attributes,
10,CHF,,APTS_Course_Type_Name__c,,FALSE,FALSE,FALSE,,9,LT Course Attributes,
11,CHF,,APTS_Course_Type_Code__c,,FALSE,FALSE,FALSE,,10,LT Course Attributes,
12,CHF,,APTS_Accommodation_Type__c,,FALSE,FALSE,FALSE,,11,LT Course Attributes,
13,CHF,,Language__c,,FALSE,FALSE,FALSE,,12,LT Course Attributes,
14,CHF,,APTS_Number_of_Days__c,,FALSE,FALSE,FALSE,,13,LT Course Attributes,
15,CHF,,APTS_Course_Number_of_Weeks__c,,FALSE,FALSE,FALSE,,14,LT Course Attributes,
16,CHF,,APTS_IDP__c,,FALSE,FALSE,FALSE,,15,LT Course Attributes,
17,CHF,,APTS_LT_Course_Price__c,,FALSE,FALSE,FALSE,,16,LT Course Attributes,
18,CHF,,CS1_Type__c,,FALSE,FALSE,FALSE,,17,LT Course Attributes,
19,CHF,,APTS_LTCS1_Location__c,,FALSE,FALSE,FALSE,,18,LT Course Attributes,
20,CHF,,APTS_LTCS2_Type__c,,FALSE,FALSE,FALSE,,19,LT Course Attributes,
21,CHF,,APTS_LTCS2_Location__c,,FALSE,FALSE,FALSE,,20,LT Course Attributes,
