Classification Id,Currency ISO Code,Default,Default Quantity,Max Quantity,Min Quantity,Modifiable,Sequence,Apttus_Config2__ClassificationId__r.Name,Apttus_Config2__ProductId__r.Product Name
"CP-0000016027","CHF","false","1.0","1.0","0.0","true","","Auckland Courses","Basic Course"
"CP-0000016028","CHF","false","1.0","1.0","0.0","true","","Auckland Courses","Business Language Course"
"CP-0000016029","CHF","false","1.0","1.0","0.0","true","","Auckland Courses","Exam Course"
"CP-0000016030","CHF","false","1.0","1.0","0.0","true","","Auckland Courses","General Course"
"CP-0000016032","CHF","false","1.0","1.0","0.0","true","","Auckland Courses","Junior Course"
"CP-0000016033","CHF","false","1.0","1.0","0.0","true","","Auckland Courses","Junior Intensive Course"
"CP-0000016034","CHF","false","1.0","1.0","0.0","true","","Auckland Courses","Language Experience"
"CP-0000016035","CHF","false","1.0","1.0","0.0","true","","Auckland Courses","Leader Course"
"CP-0000016036","CHF","false","1.0","1.0","0.0","true","","Auckland Insurance","Cancellation Protection"
"CP-0000016037","CHF","false","1.0","1.0","0.0","true","","Auckland Insurance","Cancellation Protection Flights"
"CP-0000016038","CHF","false","1.0","1.0","0.0","true","","Auckland Insurance","Cancellation Protection Longterm"
"CP-0000016039","CHF","false","1.0","1.0","0.0","true","","Auckland Insurance","Cancellation Protection University Admission"
"CP-0000016040","CHF","false","1.0","1.0","0.0","true","","Auckland Insurance","Travel Insurance Coverage"
"CP-0000016041","CHF","false","1.0","1.0","0.0","true","","Auckland Insurance","Travel Insurance Private Extension"
"CP-0000016042","CHF","false","1.0","1.0","0.0","true","","Auckland Insurance","Travel insurance private extension incl. Sports suppl."
"CP-0000016043","CHF","false","1.0","1.0","0.0","true","","Auckland Insurance","Travel Insurance Second Destination"
"CP-0000016044","CHF","false","1.0","1.0","0.0","true","","Auckland Insurance","Travel Insurance Sport"
"CP-0000016045","CHF","false","1.0","1.0","0.0","true","","Auckland Travel","Oneway Return Transfer - School to Airport"
"CP-0000016046","CHF","false","1.0","1.0","0.0","true","","Auckland Travel","Oneway Single Transfer - Airport to School"
"CP-0000016047","CHF","false","1.0","1.0","0.0","true","","Auckland Travel","Single and Return Transfer - Airport to School to Airport"
"CP-0000016048","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Host Family Twin"
"CP-0000016049","CHF","false","1.0","1.0","0.0","true","","Auckland Travel","Special Transfer"
"CP-0000016050","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Red Monkey Lodge Twin Extra Night"
"CP-0000016051","CHF","false","1.0","1.0","0.0","true","","Auckland Travel","Transfer School to School"
"CP-0000016052","CHF","false","1.0","1.0","0.0","true","","Auckland Travel","Special Travel Arrangement Arrival"
"CP-0000016053","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Host Family Single"
"CP-0000016054","CHF","false","1.0","1.0","0.0","true","","Auckland Travel","Special Travel Arrangement Departure"
"CP-0000016055","CHF","false","1.0","1.0","0.0","true","","Auckland Travel","Flight Booked by EF"
"CP-0000016056","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","No Accommodation"
"CP-0000016057","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Own Accommodation"
"CP-0000016058","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Activity Voucher - One Unit"
"CP-0000016059","CHF","false","1.0","1.0","0.0","true","","Auckland Travel","Flight Booked Locally"
"CP-0000016060","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Red Monkey Lodge Twin"
"CP-0000016061","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Red Monkey Lodge Single"
"CP-0000016062","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Red Monkey Manor Twin Room"
"CP-0000016063","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Rockland Residence Single"
"CP-0000016064","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Rockland Residence Twin"
"CP-0000016065","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","University Hall Single"
"CP-0000016066","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","City Lodge Single"
"CP-0000016067","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Hotel Twin"
"CP-0000016068","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Hotel Triple"
"CP-0000016069","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","AirBnB"
"CP-0000016070","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","University Hall Single Extra Night"
"CP-0000016071","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Red Monkey Lodge Single Extra Night"
"CP-0000016072","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Red Monkey Manor Twin Room Extra Night"
"CP-0000016073","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","City Lodge Single Extra Night"
"CP-0000016074","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Rockland Residence Single Extra Night"
"CP-0000016075","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Rockland Residence Twin Extra Night"
"CP-0000016076","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Host Family Single Extra Night"
"CP-0000016077","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Host Family Twin Extra Night"
"CP-0000016078","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Hotel Twin Extra Night"
"CP-0000016079","CHF","false","1.0","1.0","0.0","true","","Auckland Accommodation","Hotel Triple Extra Night"
"CP-0000016080","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Aqua Sports Surfing"
"CP-0000016081","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Bay of Islands and Cape Reinga"
"CP-0000016082","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Bus Pass"
"CP-0000016083","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Dinner Supplement"
"CP-0000016084","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Half Board Supplement 7 Days"
"CP-0000016085","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Hobbiton & Hamilton Gardens"
"CP-0000016086","CHF","false","1.0","1.0","0.0","true","","Auckland Other","LM visa service fee"
"CP-0000016087","CHF","false","1.0","1.0","0.0","true","","Auckland Other","LM visa service fee 20+"
"CP-0000016088","CHF","false","1.0","1.0","0.0","true","","Barcelona Accommodation","Host Family Single"
"CP-0000016089","CHF","false","1.0","1.0","0.0","true","","Barcelona Accommodation","Host Family Single Extra Night"
"CP-0000016090","CHF","false","1.0","1.0","0.0","true","","Barcelona Accommodation","Host Family Twin"
"CP-0000016091","CHF","false","1.0","1.0","0.0","true","","Barcelona Accommodation","Host Family Twin Extra Night"
"CP-0000016092","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Lunch Supplement 5 Days"
"CP-0000016093","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Lunch Supplement 7 Days"
"CP-0000016094","CHF","false","1.0","1.0","0.0","true","","Barcelona Accommodation","Anna Ravell Single"
"CP-0000016095","CHF","false","1.0","1.0","0.0","true","","Barcelona Accommodation","Anna Ravell Single Extra Night"
"CP-0000016096","CHF","false","1.0","1.0","0.0","true","","Barcelona Accommodation","Anna Ravell Twin"
"CP-0000016097","CHF","false","1.0","1.0","0.0","true","","Barcelona Accommodation","Anna Ravell Twin Extra Night"
"CP-0000016098","CHF","false","1.0","1.0","0.0","true","","Auckland Other","One-to-one Tuition"
"CP-0000016099","CHF","false","1.0","1.0","0.0","true","","Auckland Other","ONLINE One to one tuition 6 pack"
"CP-0000016100","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Rotorua, Taupo, Waitomo Weekend Trip"
"CP-0000016102","CHF","false","1.0","1.0","0.0","true","","Barcelona Courses","Basic Course"
"CP-0000016103","CHF","false","1.0","1.0","0.0","true","","Barcelona Courses","Exam Course"
"CP-0000016104","CHF","false","1.0","1.0","0.0","true","","Barcelona Courses","General Course"
"CP-0000016105","CHF","false","1.0","1.0","0.0","true","","Barcelona Courses","Intensive Course"
"CP-0000016110","CHF","false","1.0","1.0","0.0","true","","Barcelona Other","Action Football"
"CP-0000016111","CHF","false","1.0","1.0","0.0","true","","Barcelona Other","Cooking class"
"CP-0000016112","CHF","false","1.0","1.0","0.0","true","","Barcelona Other","Costa Brava and D'Ali' Museum"
"CP-0000016113","CHF","false","1.0","1.0","0.0","true","","Barcelona Other","Salsa class Barcelona"
"CP-0000016114","CHF","false","1.0","1.0","0.0","true","","Barcelona Other","Water Park"
"CP-0000016115","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Supervised Transfer Supplement - Minor"
"CP-0000016116","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Visa"
"CP-0000016117","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Visa Service"
"CP-0000016118","CHF","false","1.0","1.0","0.0","true","","Auckland Other","Visa Handling Fee"
"CP-0000016119","CHF","false","1.0","1.0","0.0","true","","Auckland Other","YAF visa service fee"
"CP-0000016120","CHF","false","1.0","1.0","0.0","true","","Auckland Other","YAF visa service fee 20+"
