Currency ISO Code,Ratio,Sequence,Apttus_Config2__ProductGroupId__r.Group Name,Apttus_Config2__ProductId__r.Product Name
"CHF","","27.0","Northern Hemisphere","Saint Raphaël"
"CHF","","28.0","Northern Hemisphere","San Diego Point Loma"
"CHF","","23.0","Northern Hemisphere","Nice"
"CHF","","34.0","Northern Hemisphere","Singapore"
"CHF","","36.0","Northern Hemisphere","Toronto"
"CHF","","38.0","Northern Hemisphere","Vancouver Island"
"CHF","","5.0","Host Family included","Bournemouth"
"CHF","","19.0","Host Family included","Malta St. Julian's"
"CHF","","21.0","Host Family included","Munich"
"CHF","","2.0","Products with Subtype Hotel and Hotel Extra Night","Hotel booked locally"
"CHF","","8.0","Products with Subtype Hotel and Hotel Extra Night","Hotel Triple Extra Night"
"CHF","","7.0","Products with Subtype Hotel and Hotel Extra Night","Hotel Triple"
"CHF","","9.0","Products with Subtype Hotel and Hotel Extra Night","Hotel Twin"
"CHF","","10.0","Products with Subtype Hotel and Hotel Extra Night","Hotel Twin Extra Night"
"CHF","","6.0","Host Family included","Brisbane"
"CHF","","8.0","Host Family included","Cambridge"
"CHF","","15.0","Host Family included","Honolulu"
"CHF","","17.0","Host Family included","Madrid"
"CHF","","18.0","Host Family included","Malaga"
"CHF","","27.0","Host Family included","Nice"
"CHF","","35.0","Host Family included","Toronto"
"CHF","","4.0","Host Family included","Berlin"
"CHF","","14.0","Host Family included","Eastbourne"
"CHF","","23.0","Host Family included","Paris"
"CHF","","11.0","Host Family included","Clare College"
"CHF","","39.0","Host Family included","Brighton"
"CHF","","7.0","Host Family included","Bristol"
"CHF","","16.0","Host Family included","London"
"CHF","","20.0","Host Family included","Manchester"
"CHF","","34.0","Host Family included","Sydney"
"CHF","","38.0","Host Family included","Vught"
"CHF","","1.0","Products with Subtype Hotel and Hotel Extra Night","Hotel"
"CHF","","3.0","Products with Subtype Hotel and Hotel Extra Night","Hotel Double"
"CHF","","1.0","Host Family included","Anvers"
"CHF","","2.0","Host Family included","Auckland"
"CHF","","13.0","Host Family included","Dublin"
"CHF","","22.0","Host Family included","Oxford"
"CHF","","28.0","Host Family included","San Francisco Down Town"
"CHF","","29.0","Host Family included","Santa Barbara"
"CHF","","36.0","Host Family included","Vancouver"
"CHF","","37.0","Host Family included","Vancouver Island"
"CHF","","25.0","Host Family included","Rome"
"CHF","","24.0","Host Family included","Perth"
"CHF","","26.0","Host Family included","Saint Raphaël"
"CHF","","9.0","Host Family included","Cape Town"
"CHF","","10.0","Host Family included","Chicago"
"CHF","","30.0","Host Family included","Seattle"
"CHF","","12.0","Host Family included","Costa Rica"
"CHF","","49.0","Host Family included","Boston"
"CHF","","31.0","Host Family included","Seoul"
"CHF","","33.0","Host Family included","Singapore"
"CHF","","6.0","Products with Subtype Hotel and Hotel Extra Night","Hotel Single Extra Night"
"CHF","","32.0","Host Family included","Shanghai"
"CHF","","4.0","Products with Subtype Hotel and Hotel Extra Night","Hotel Double Extra Night"
"CHF","","5.0","Products with Subtype Hotel and Hotel Extra Night","Hotel Single"
"CHF","","6.0","Southern Hemisphere","Costa Rica"
"CHF","","19.0","Northern Hemisphere","Miami"
"CHF","","3.0","Northern Hemisphere","Boston"
"CHF","","13.0","Northern Hemisphere","London"
"CHF","","17.0","Northern Hemisphere","Malta St. Julian's"
"CHF","","30.0","Northern Hemisphere","Santa Barbara"
"CHF","","39.0","Northern Hemisphere","Vught"
"CHF","","40.0","Northern Hemisphere","Washington D.C."
"CHF","","37.0","Northern Hemisphere","Vancouver"
"CHF","","2.0","Southern Hemisphere","Brisbane"
"CHF","","10.0","Northern Hemisphere","Dublin"
"CHF","","24.0","Northern Hemisphere","Oxford"
"CHF","","35.0","Northern Hemisphere","Anvers"
"CHF","","5.0","Northern Hemisphere","Brighton"
"CHF","","20.0","Northern Hemisphere","Munich"
"CHF","","3.0","Southern Hemisphere","Perth"
"CHF","","5.0","Southern Hemisphere","Cape Town"
"CHF","","1.0","Enrollment Fee","Enrollment Fee"
"CHF","","1.0","Southern Hemisphere","Sydney"
