Content Type,Currency ISO Code,Detail Page,Export Name of the Option Group,Export Name of the Product,Is Hidden,Is Leaf,Is Picklist,Left,Level,Max Options,Max Total Quantity,Min Options,Min Total Quantity,Modifiable Type,Right,Root Sequence,Sequence,Apttus_Config2__OptionGroupId__r.Name,Apttus_Config2__MaxTotalQuantityExpressionId__r.Field Expression Name,Apttus_Config2__MinTotalQuantityExpressionId__r.Field Expression Name,Apttus_Config2__ParentOptionGroupId__r.Name,Apttus_Config2__ProductAttributeGroupMemberId__r.Group Name,Apttus_Config2__ProductId__r.Product Name,Apttus_Config2__RootOptionGroupId__r.Name
"Options","CHF","","General Fees","Madrid","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Madrid","General Fees"
"Options","CHF","","General Fees","Vancouver","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","7.0","0.0","General Fees","","","","","Vancouver","General Fees"
"Options","CHF","","General Fees","Auckland","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Auckland","General Fees"
"Options","CHF","","General Fees","Clare College","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Clare College","General Fees"
"Options","CHF","","General Fees","Saint Raphaël","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Saint Raphaël","General Fees"
"Options","CHF","","General Fees","Chicago","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Chicago","General Fees"
"Options","CHF","","LT General Fees","LT Course","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","5.0","0.0","LT General Fees","","","","","LT Course","LT General Fees"
"Options","CHF","","General Fees","San Diego Point Loma","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","7.0","0.0","General Fees","","","","","San Diego Point Loma","General Fees"
"Options","CHF","","General Fees","Shanghai","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Shanghai","General Fees"
"Options","CHF","","General Fees","Boston","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","7.0","0.0","General Fees","","","","","Boston","General Fees"
"Options","CHF","","General Fees","Berlin","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","8.0","0.0","General Fees","","","","","Berlin","General Fees"
"Options","CHF","","General Fees","Bristol","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","7.0","0.0","General Fees","","","","","Bristol","General Fees"
"Options","CHF","","LT Course Types","LT Course","false","true","false","1.0","0.0","99.0","","1.0","","Variable","2.0","1.0","0.0","LT Course Types","","","","","LT Course","LT Course Types"
"Options","CHF","","LT Other","LT Course","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","4.0","0.0","LT Other","","","","","LT Course","LT Other"
"Options","CHF","","General Fees","Toronto","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Toronto","General Fees"
"Options","CHF","","General Fees","Vancouver Island","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Vancouver Island","General Fees"
"Options","CHF","","LT Insurance","LT Course","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","2.0","0.0","LT Insurance","","","","","LT Course","LT Insurance"
"Options","CHF","","LT Activities","LT Course","false","true","false","1.0","0.0","99.0","","0.0","","Variable","2.0","3.0","0.0","LT Activities","","","","","LT Course","LT Activities"
"Options","CHF","","General Fees","Dublin","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Dublin","General Fees"
"Options","CHF","","General Fees","Singapore","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","7.0","0.0","General Fees","","","","","Singapore","General Fees"
"Options","CHF","","General Fees","San Francisco Down Town","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","7.0","0.0","General Fees","","","","","San Francisco Down Town","General Fees"
"Options","CHF","","General Fees","Seattle","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","7.0","0.0","General Fees","","","","","Seattle","General Fees"
"Options","CHF","","General Fees","Costa Rica","false","true","false","1.0","0.0","99.0","","0.0","","Fixed","2.0","6.0","0.0","General Fees","","","","","Costa Rica","General Fees"
