Active,Actual Icon Size,Available Programs,AY Course Type,Bundle Invoice Level,Configuration Type,Course Pricing,Currency ISO Code,Destination Location,Discontinued Date,Effective Date,Effective Start Date,Enable Start Date & End Date,Exclude From Sitemap,Expiration Date,Has Attributes,Has Defaults,Has Options,Has Search Attributes,Is Optional,Launch Date,Must Configure,Price Override Allowed,Product Code,Product Description,Product Family,Product Name,Product Subtype,Product Type,Qunatity Modifiable,TI Pricing,Uom,Version
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPOXFFD","","","Oxford Full Day","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPCOTEFD","","","Cote D'Azur Full Day","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPNERJA","","","Nerja Caves","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPORLWE","","","Orlando Weekend Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","STA","","","Special Travel Arrangement","Arrival and Departure","Travel","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSANZOO","","","San Diego Zoo Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPNIAGARA","","","Niagara Falls Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPOUTWE","","","Outback Experience Weekend","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPTOOFD","","","Toronto Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSEVFD","","","Sevilla Full Day","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Bundle","false","CHF","Northern Hemisphere","","","","true","false","","true","false","true","false","false","","true","false","US-MIA","","Destination","Miami","","Destination","false","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESM-MISR","","Accommodation","Miami Summer Residence I Multi","Residence","Accommodation","true","false","Day","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESMX-MISR","","Accommodation","Miami Summer Residence I Multi Extra Night","Residence Extra Night","Accommodation","true","false","Day","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","APCOS","","","Monteverde","Sports Options","Other","true","false","Each","1.0"
