Currency ISO Code,Destination Location,Is Main Supplement,Market,Product Group,Season Supplement Product,Supplement End Date,Supplement Name,Supplement Start Date,ProductGroup__r.Group Name,SeasonSupplementProduct__r.Product Name
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/28/2027","143","11/24/2027","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/25/2028","144","03/29/2028","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/26/2028","145","10/31/2028","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/24/2029","146","03/28/2029","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/25/2029","147","11/28/2029","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/01/2030","148","03/27/2030","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/24/2030","149","11/27/2030","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","03/31/2031","150","03/26/2031","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/29/2039","114","12/29/2038","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/27/2040","115","12/28/2039","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/26/2041","116","12/26/2040","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/25/2042","117","12/25/2041","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/01/2043","118","01/30/2043","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/29/2044","119","12/30/2043","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/28/2045","120","12/28/2044","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/27/2046","121","12/27/2045","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/26/2047","122","12/26/2046","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","true","","","01t6E000001kTL1QAM","03/24/2048","123","12/25/2047","","Weekly Summer Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/30/2036","161","11/26/2036","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/28/2037","162","03/02/2037","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/29/2037","163","11/25/2037","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/27/2038","164","03/01/2038","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/28/2038","165","11/02/2038","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/26/2039","166","02/28/2039","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/27/2039","167","11/01/2039","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/02/2040","168","03/28/2040","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/25/2040","169","11/28/2040","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/01/2041","170","03/27/2041","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/24/2041","171","11/27/2041","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","03/31/2042","172","03/26/2042","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/30/2042","173","11/26/2042","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/28/2043","174","03/02/2043","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/29/2043","175","11/25/2043","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/26/2044","176","02/29/2044","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/29/2028","11","05/01/2028","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/28/2029","12","04/30/2029","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/27/2030","13","05/29/2030","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/26/2031","14","05/28/2031","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/24/2032","15","05/26/2032","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","07/31/2033","16","05/02/2033","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/29/2034","17","05/01/2034","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/28/2035","18","04/30/2035","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/26/2036","19","05/28/2036","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/25/2037","20","05/27/2037","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/01/2038","21","05/26/2038","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","07/31/2039","22","05/02/2039","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/28/2040","23","04/30/2040","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/27/2041","24","05/29/2041","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/26/2042","25","05/28/2042","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/25/2043","26","04/30/2043","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","07/31/2044","27","05/02/2044","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/29/2045","28","05/01/2045","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/28/2046","29","04/30/2046","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/27/2047","30","05/29/2047","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","true","","","01t6E000001kTL1QAM","08/25/2048","31","05/27/2048","","Weekly Summer Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/29/2018","32","04/25/2018","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/25/2018","33","08/29/2018","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/28/2019","34","03/04/2019","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","09/24/2019","35","08/28/2019","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/26/2020","36","04/28/2020","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","08/31/2020","37","08/26/2020","","Weekly Midseason Supplement"
"CHF","Northern Hemisphere","false","","","01t6E000001kTL0QAM","05/02/2021","38","04/28/2021","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/27/2044","177","11/01/2044","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/25/2045","178","03/29/2045","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/26/2045","179","10/31/2045","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","04/24/2046","180","03/28/2046","","Weekly Midseason Supplement"
"CHF","Southern Hemisphere","false","","","01t6E000001kTL0QAM","12/25/2046","181","11/28/2046","","Weekly Midseason Supplement"
