Break-1 End Date,Break-1 Number of Weeks,Break-1 Start Date,Break-2 End Date,Break-2 Number of Weeks,Break-2 Start Date,Break-3 End Date,Break-3 Number of Weeks,Break-3 Start Date,Course,Course Number of Weeks,Currency ISO Code,Date of Birth From,Date of Birth To,Destination,End Date,Is Beginner,Is Preferred,Name,Preferred,Program,Start date,Start Date Converted,Term-1 End Date,Term-1 Number of Weeks,Term-1 Start Date,Term-2 End Date,Term-2 Number of Weeks,Term-2 Start Date,Term-3 End Date,Term-3 Number of Weeks,Term-3 Start Date,Term-4 End Date,Term-4 Number of Weeks,Term-4 Start Date
"","","","","","","","","","I","","CHF","","","GB-LON","","false","false","February","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","02/05/2018","5/2/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","CHF","","","NZ-AUC","","false","false","February","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","02/05/2018","5/2/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","CHF","","","GB-LON","","false","false","June","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","06/04/2018","4/6/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","CHF","","","NZ-AUC","","false","false","February","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","02/05/2018","5/2/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","CHF","","","NZ-AUC","","false","false","June","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","06/04/2018","4/6/2018","","","","","","","","","","","",""
"","","","","","","","","","JI","","CHF","","","NZ-AUC","","false","false","June","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","06/04/2018","4/6/2018","","","","","","","","","","","",""
"","","","","","","","","","YE01I","34.0","CHF","","","US-BOI","08/30/2019","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","01/07/2019","7/1/2019","","","","","","","","","","","",""
"","","","","","","","","","I","","CHF","","","GB-BRI","","false","false","February","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","02/05/2018","5/2/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","CHF","","","MT-MSJ","","false","false","February","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","02/05/2018","5/2/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","CHF","","","US-MIA","","false","false","February","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","ILSU","02/05/2018","5/2/2018","","","","","","","","","","","",""
