Adjustment Heading,Articles Heading,Code Heading,Comments Heading,Course Description Heading,Currency ISO Code,Description Translation,Discount Heading,Duration Heading,General heading,GeneralInfo Translation,Grand Total Heading,Incentive,Incentive Heading,Initial Price Heading,Insurance Heading,Language,Lessons Descriptions Translation,Market,No of Weeks Heading,Optional Heading,Price Heading,Product,Product Name Translation,Promotions Heading,Total Heading,Transalation Name,Unique Record Identifier,Valid Until Heading,RecordType.Name,Incentive__r.Incentive Name,Product__r.Product Name
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTguQAE","1412 Market Street Single Extra Night","","","T-000","USB EN RESSX-MAST","","Product Translation","","1412 Market Street Single Extra Night"
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTd0QAE","24 on Upper Bloem Single","","","T-001","USB EN RESS-BLOE","","Product Translation","","24 on Upper Bloem Single"
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTf2QAE","24 on Upper Bloem Single Extra Night","","","T-002","USB EN RESSX-BLOE","","Product Translation","","24 on Upper Bloem Single Extra Night"
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTmYQAU","24 on Upper Bloem Twin","","","T-003","USB EN REST-BLOE","","Product Translation","","24 on Upper Bloem Twin"
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTBzQAM","24 on Upper Bloem Twin Extra Night","","","T-004","USB EN RESTX-BLOE","","Product Translation","","24 on Upper Bloem Twin Extra Night"
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTcaQAE","2Stay Single","","","T-005","USB EN RESS-STAY","","Product Translation","","2Stay Single"
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTiEQAU","2Stay Single Extra Night","","","T-006","USB EN RESSX-STAY","","Product Translation","","2Stay Single Extra Night"
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTBXQA2","2Stay Twin","","","T-007","USB EN REST-STAY","","Product Translation","","2Stay Twin"
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTCqQAM","2Stay Twin Extra Night","","","T-008","USB EN RESTX-STAY","","Product Translation","","2Stay Twin Extra Night"
"","","","","","CHF","","","","","","","","","","","EN","","USB","","","","01t6E000001kTfmQAE","Ability Towers Multi","","","T-009","USB EN RESM-ABIL","","Product Translation","","Ability Towers Multi"
